collection_id,collection_name,holder_count,degree_centrality_unweighted,degree_centrality_weighted,total_connections,avg_edge_weight
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,0.9375,1.0,45,0.9014523943871865
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,0.9583333333333333,0.9959152336881015,46,0.878253429144926
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,0.9583333333333333,0.9917859746080891,46,0.8746120188881328
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,0.9375,0.9903588101245229,45,0.8927613206891959
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,0.9583333333333333,0.9652332449681685,46,0.8511963454747852
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,0.9375,0.9508111443495876,45,0.8571109826839564
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,0.9583333333333333,0.9382060364662729,46,0.8273622502184025
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,0.9375,0.9381273603010778,45,0.8456771551835375
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,0.9375,0.9343773466997672,45,0.8422966964436513
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,0.9166666666666666,0.9277961960037835,44,0.8553723774452734
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,0.9583333333333333,0.9250393636522626,46,0.8157511460218025
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,0.8958333333333333,0.9206017198497851,43,0.8684776304325528
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,0.8541666666666666,0.9175421381499337,41,0.9078152459118984
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,0.9375,0.9084955890334261,45,0.8189655240243795
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,0.8541666666666666,0.9068519257123342,41,0.8972383607429427
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,0.9583333333333333,0.9006737814485375,46,0.794264220830099
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,0.9583333333333333,0.8987764796952051,46,0.7925910746479523
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,0.8958333333333333,0.8706393062630702,43,0.8213440680820923
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,0.875,0.8685878875780505,42,0.8389185332067235
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,0.9375,0.8683707207633685,45,0.7827948654478653
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,0.9583333333333333,0.8519247885708048,46,0.7512746483102765
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,0.9375,0.844684062062194,45,0.7614424702466595
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,0.8333333333333333,0.8151353189108543,40,0.8266563956044714
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,0.9375,0.8137440387923137,45,0.7335515121876308
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,0.8958333333333333,0.8115244223105705,43,0.765576244460451
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,0.75,0.7694757144415375,36,0.8670571565076437
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0.9166666666666666,0.7600988113016841,44,0.7007654591782745
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,0.875,0.7506413604733047,42,0.725000841133624
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,0.8541666666666666,0.7445916892276756,41,0.7366982499824137
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,0.9375,0.7376765985618373,45,0.6649803360569636
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,0.875,0.7313138890258226,42,0.7063335603331425
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0.9375,0.7226896774100076,45,0.6514703401001547
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,0.9375,0.6876415489074541,45,0.6198761207427378
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0.8958333333333333,0.6556293284072726,43,0.6185078664312548
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0.875,0.637934566572222,42,0.6161439026773731
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,0.75,0.6160350851240325,36,0.6941578781394667
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0.8541666666666666,0.5266662438830018,41,0.5210830389416025
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,0.6666666666666666,0.5189474906267952,32,0.6578528315438625
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0.9166666666666666,0.5184676251418242,44,0.47799601578034334
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0.875,0.4933783138177725,42,0.4765254239247255
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0.7083333333333333,0.47422548998663644,34,0.5657978427722077
