collection_id,collection_name,holder_count,eigenvector_centrality_unweighted,eigenvector_centrality_weighted,total_connections,neighbor_influence_score,avg_neighbor_centrality
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0.1467886762581007,0.16340351996031213,47,6.662600669978957,0.14175746106338208
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,0.1467886762581007,0.16337931530977048,47,6.662624874629499,0.14175797605594678
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,0.1467886762581007,0.16306811127645746,47,6.662936078662812,0.1417645974183577
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,0.1467886762581007,0.16289826888825373,47,6.663105921051015,0.1417682110861918
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,0.1473825803548516,0.16271292232939144,48,6.665734218932144,0.13886946289441968
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,0.1467886762581007,0.1619636275576028,47,6.6640405623816665,0.14178809707195036
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,0.1467886762581007,0.16158200240622067,47,6.664422187533049,0.1417962167560223
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,0.1467886762581007,0.1610326736475728,47,6.664971516291697,0.141807904601951
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,0.14390685296021402,0.1601055615557041,46,6.595356555610398,0.14337731642631302
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,0.1467886762581007,0.15988259821316247,47,6.666121591726107,0.14183237429204482
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,0.1467886762581007,0.1598504980097831,47,6.666153691929486,0.14183305727509543
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,0.1467886762581007,0.15941291350168052,47,6.66659127643759,0.1418423675837785
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,0.1467886762581007,0.15929250820289803,47,6.666711681736372,0.1418449293986462
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,0.1467886762581007,0.1588629497137768,47,6.667141240225494,0.14185406894096794
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,0.1467886762581007,0.15806954112804308,47,6.667934648811226,0.14187094997470692
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,0.1467886762581007,0.15688847873553144,47,6.669115711203737,0.14189607896178164
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,0.14390685296021402,0.15640500500306206,46,6.599057112163041,0.1434577633078922
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,0.1467886762581007,0.15632072086381535,47,6.669683469075453,0.141908158916499
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,0.1467886762581007,0.1562523736245962,47,6.6697518163146725,0.14190961311307815
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,0.1467886762581007,0.15568557969398591,47,6.670318610245284,0.1419216725584103
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,0.1467886762581007,0.1555512676989423,47,6.670452922240328,0.1419245302604325
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,0.1410865843100478,0.1544079727752866,45,6.519779656468301,0.14488399236596225
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,0.14437198535643386,0.15396624736922493,46,6.571791273160295,0.14286502767739773
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,0.1467886762581007,0.15265029799297572,47,6.673353891946293,0.1419862530201339
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,0.1473825803548516,0.15221801795099452,48,6.67622912331054,0.13908810673563624
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,0.1467886762581007,0.1520157392583467,47,6.673988450680923,0.14199975426980688
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,0.14155171670626768,0.15189769003761502,45,6.49258534256939,0.1442796742793198
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,0.1467886762581007,0.15153575646905762,47,6.674468433470212,0.14200996666957896
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,0.1467886762581007,0.15095605901145354,47,6.6750481309278165,0.14202230065803864
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0.1473825803548516,0.150229544144079,48,6.678217597117456,0.13912953327328034
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,0.1415517167062677,0.1492967185309943,45,6.49518631407601,0.14433747364613356
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0.1467886762581007,0.14857556533110802,47,6.6774286246081616,0.1420729494597481
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,0.14385594318941988,0.14176858912239151,46,6.5499174733764525,0.14238951029079244
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,0.14433408756898017,0.13982318521468906,47,6.609848682624268,0.14063507835370784
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,0.14437198535643386,0.13611959736672188,46,6.5896379231627975,0.14325299832962604
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,0.13826953067579384,0.13431812744042593,44,6.324201138025333,0.1437318440460303
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0.14439772092272454,0.12786397796637017,47,6.574706003221245,0.1398873617706648
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0.14072709353253504,0.12587716007391844,45,6.451715436006485,0.14337145413347746
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,0.1438559431894199,0.1254696659413698,46,6.566216396557475,0.1427438347077712
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0.14138712592430683,0.12054761589249492,45,6.479332744563107,0.14398517210140238
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0.1473825803548516,0.11668122497491891,48,6.711765916286616,0.1398284565893045
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,0.1415517167062677,0.1135515750561883,45,6.530931457550816,0.14513181016779592
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0.14437198535643386,0.10345489389115227,46,6.622302626638367,0.14396310057909495
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,0.11393906096678089,0.10024666940974963,37,5.423995801951874,0.14659448113383444
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,0.1449658894531848,0.08932002727891633,47,6.638880444572869,0.14125277541644402
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,0.1329663773676094,0.081274487922515,43,6.0777720275291856,0.14134353552393455
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,0.14372730117643046,0.07877527342257802,46,6.607405731302002,0.14363925502830438
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,0.13586880678073668,0.07054207277316737,44,6.186739859744564,0.14060772408510372
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,0.0024690661416810083,0.002527334981772326,1,0.10024666940974963,0.10024666940974963
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,0.02799900171906604,0.0024429513222659787,9,1.0906654605550419,0.12118505117278243
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,0.0,0.0,0,0.0,0.0
