collection_id,collection_name,holder_count,degree_centrality_weighted,total_connections,eigenvector_centrality_weighted,neighbor_influence_score,centrality_rank_degree,centrality_rank_eigenvector,rank_difference
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0.4384063078446353,37,0.10823698501201905,5.385434303943712,35.0,33.0,2.0
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0.42183452260839976,27,0.06193012780311418,3.2864616413144345,36.0,39.0,-3.0
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0.41476809370563433,30,0.060799916098949684,3.6582126463907527,37.0,40.0,-3.0
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0.4066457288392323,40,0.10025246100925839,5.721942487341905,38.0,35.0,3.0
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0.40499987082344385,28,0.05788866195101091,3.30733715392155,39.0,41.0,-2.0
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0.36321855321156277,37,0.0968457999292661,5.664896114673973,40.0,36.0,4.0
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,0.3172068662539022,16,0.04109981446059955,1.6635763050093464,41.0,46.0,-5.0
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,0.29976704412604105,22,0.044550918509498084,2.601687119879341,42.0,45.0,-3.0
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,0.2740111477565123,16,0.04887830239060473,2.507753686116306,43.0,44.0,-1.0
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,0.2566041091743372,16,0.03142907624826079,1.491889828298977,44.0,47.0,-3.0
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0.2497870316977431,29,0.06344010786119483,4.499372543529704,45.0,38.0,7.0
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0.23061062751471312,35,0.04945381699433538,4.7735848293868095,46.0,43.0,3.0
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,0.21419221345179879,28,0.052804757700047576,4.330656406187891,47.0,42.0,5.0
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,0.2102883661262546,20,0.031178654957634312,2.2765360893508664,48.0,48.0,0.0
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,0.14827311338665497,8,0.019461218615619384,1.1554545361747817,49.0,49.0,0.0
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,0.0,0,7.290814862027663e-11,0.0,50.5,50.5,0.0
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,0.0,0,7.290814862027663e-11,0.0,50.5,50.5,0.0
